DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: G4SSAplusfoam003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable     G4SSAplusfoam003   b.e11.TSREFC2.f09.g16.ccmi23.003   G4SSAplusfoam003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            -9.620              -9.512            -0.108         3.815
RESSURF          -10.489             -10.409            -0.080         6.709
SOLIN            330.385             330.385             0.000         0.000
AAM            1.180e+26           1.218e+26        -3.891e+24      -999.000
CHI_200            0.028               0.032            -0.003         0.545
CLDHGH            30.533              30.282             0.251         1.801
CLDLOW            34.992              35.889            -0.897         2.368
CLDMED            16.232              15.753             0.480         1.717
CLDTOT            53.720              54.168            -0.448         2.226
EKE_850           28.264              27.765             0.500         1.877
EP             1.068e-02           1.162e-02        -9.361e-04         0.530
FLNS              58.758              57.035             1.723         2.776
FLNSC             82.435              80.072             2.363         3.288
FLNT             234.386             237.878            -3.492         4.404
FLNTC            264.229             267.684            -3.455         3.706
FSDS             170.198             170.696            -0.498         4.669
FSDSC            232.740             234.637            -1.897         2.331
FSNS             149.755             151.644            -1.890         4.977
FSNSC            205.862             209.311            -3.450         6.367
FSNSC_ICE         40.806              46.538            -5.732        15.566
FSNSC_LAND       212.737             214.531            -1.795         3.277
FSNT             224.767             228.367            -3.600         5.731
FSNTC            276.961             282.419            -5.458         7.659
ICEAREA           26.272              22.515             3.757         0.125
LHFLX             82.004              85.561            -3.557         7.386
LWCF              29.843              29.806             0.037         1.895
PRECT              2.802               2.926            -0.123         0.519
PRECT_LAND         2.355               2.408            -0.054         0.394
PRECT_OCEAN        3.105               3.245            -0.140         0.583
PREH2O            26.819              29.555            -2.735         3.163
PREH2O_OCEAN      29.728              32.535            -2.807         3.448
PSI_200           -0.074              -0.074            -0.000         0.274
PS               985.516             985.784            -0.268         0.640
PSL             1010.919            1011.127            -0.208         0.619
QFLX               2.813               2.937            -0.124         0.227
SHFLX             19.482              19.457             0.025         3.257
SNOWHLND          10.514              10.205             0.309         3.247
SST               19.863              21.086            -1.223         1.272
STRESS_MAG         0.078               0.077             0.000         0.008
SWCF             -52.194             -54.052             1.858         4.775
T_850            283.192             284.660            -1.468         1.491
TGCLDLWP         139.034             142.427            -3.393        12.988
TGCLDIWP          16.697              16.045             0.652         1.500
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           289.194             290.598            -1.405         1.483
TS               289.888             291.287            -1.398         1.511
TS_LAND          288.667             290.303            -1.636         1.680
U_200             13.106              13.638            -0.532         1.395
VT_850             1.008               0.940             0.068         0.594
Z3_500            56.952              57.300            -0.348         0.356
