DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: G4SSAplusfoam003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable     G4SSAplusfoam003   b.e11.TSREFC2.f09.g16.ccmi23.003   G4SSAplusfoam003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            55.453              55.487            -0.034         2.666
RESSURF           26.421              26.640            -0.219         4.577
SOLIN            417.955             417.955             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.413              -0.465             0.052         0.699
CLDHGH            35.309              35.104             0.206         2.117
CLDLOW            29.554              29.942            -0.388         1.540
CLDMED            17.027              16.876             0.151         1.826
CLDTOT            52.984              53.148            -0.164         1.804
EKE_850           11.859              10.783             1.076         1.698
EP            -2.096e-01          -2.329e-01         2.330e-02         0.650
FLNS              53.402              50.728             2.674         2.979
FLNSC             70.668              66.778             3.889         4.056
FLNT             243.428             246.520            -3.092         4.154
FLNTC            281.022             284.078            -3.055         3.191
FSDS             220.783             222.098            -1.314         4.043
FSDSC            298.019             300.443            -2.424         2.527
FSNS             205.257             206.526            -1.268         3.832
FSNSC            278.010             280.340            -2.331         2.441
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       252.171             254.041            -1.870         2.161
FSNT             298.881             302.008            -3.127         4.603
FSNTC            367.367             372.025            -4.658         4.701
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            107.432             111.327            -3.895         6.536
LWCF              37.594              37.557             0.037         2.296
PRECT              3.949               4.110            -0.161         0.626
PRECT_LAND         4.551               4.719            -0.168         0.506
PRECT_OCEAN        3.753               3.912            -0.159         0.657
PREH2O            40.393              44.494            -4.101         4.265
PREH2O_OCEAN      41.524              45.702            -4.177         4.350
PSI_200           -1.214              -1.168            -0.046         0.110
PS               995.694             995.955            -0.260         0.345
PSL             1010.402            1010.634            -0.232         0.304
QFLX               3.739               3.877            -0.138         0.186
SHFLX             18.003              17.832             0.171         1.557
SNOWHLND           0.000               0.000             0.000         0.002
SST               26.486              27.670            -1.184         1.201
STRESS_MAG         0.054               0.053             0.001         0.005
SWCF             -68.486             -70.017             1.531         3.878
T_850            289.725             291.073            -1.348         1.361
TGCLDLWP         135.090             137.768            -2.678        10.905
TGCLDIWP          12.072              11.497             0.575         1.283
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.394             299.673            -1.279         1.297
TS               299.392             300.658            -1.266         1.292
TS_LAND          298.461             300.002            -1.541         1.559
U_200              1.469               2.107            -0.637         1.182
VT_850             0.346               0.183             0.163         0.463
Z3_500            58.429              58.769            -0.340         0.340
