DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: G4SSAplusfoam003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable     G4SSAplusfoam003   b.e11.TSREFC2.f09.g16.ccmi23.003   G4SSAplusfoam003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM             1.620               3.082            -1.462         6.222
RESSURF            5.842               7.447            -1.606         6.078
SOLIN            342.177             342.177             0.000         0.000
AAM            1.382e+26           1.437e+26        -5.549e+24      -999.000
CHI_200            0.002               0.017            -0.015         0.573
CLDHGH            28.441              28.353             0.088         1.734
CLDLOW            32.137              32.876            -0.740         2.035
CLDMED            16.027              15.652             0.375         1.406
CLDTOT            49.941              50.346            -0.404         1.942
EKE_850           28.152              27.362             0.790         1.681
EP            -3.606e-02          -3.835e-02         2.289e-03         0.421
FLNS              60.346              58.729             1.617         2.356
FLNSC             83.345              81.211             2.134         3.072
FLNT             231.613             234.756            -3.143         3.736
FLNTC            259.834             263.154            -3.320         3.498
FSDS             185.532             186.051            -0.519         3.876
FSDSC            246.650             248.613            -1.962         2.359
FSNS             160.146             163.224            -3.079         7.418
FSNSC            214.711             219.729            -5.018        10.518
FSNSC_ICE         45.182              45.866            -0.685         7.519
FSNSC_LAND       164.466             166.151            -1.685         2.211
FSNT             233.232             237.838            -4.605         7.810
FSNTC            283.626             290.462            -6.835        11.062
ICEAREA           26.343              22.645             3.697         0.129
LHFLX             77.725              80.996            -3.271         6.293
LWCF              28.221              28.398            -0.176         1.705
PRECT              2.702               2.819            -0.117         0.409
PRECT_LAND         2.371               2.472            -0.101         0.310
PRECT_OCEAN        2.948               3.058            -0.111         0.459
PREH2O            24.586              27.137            -2.551         2.972
PREH2O_OCEAN      28.563              31.228            -2.665         3.271
PSI_200           -0.044              -0.043            -0.001         0.274
PS               985.296             985.547            -0.250         0.573
PSL             1011.022            1011.201            -0.179         0.532
QFLX               2.666               2.781            -0.115         0.194
SHFLX             16.233              16.052             0.181         2.257
SNOWHLND          10.626              10.330             0.296         3.263
SST               19.756              20.975            -1.219         1.265
STRESS_MAG         0.071               0.070             0.001         0.006
SWCF             -50.394             -52.624             2.230         4.741
T_850            281.077             282.470            -1.393         1.416
TGCLDLWP         132.058             136.116            -4.058        10.807
TGCLDIWP          17.603              17.006             0.597         1.354
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.126             288.544            -1.417         1.511
TS               287.819             289.234            -1.415         1.536
TS_LAND          282.129             283.766            -1.637         1.688
U_200             15.208              15.762            -0.554         1.162
VT_850             0.079               0.028             0.051         0.537
Z3_500            56.563              56.896            -0.334         0.340
