DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: G4SSAplusfoam003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable     G4SSAplusfoam003   b.e11.TSREFC2.f09.g16.ccmi23.003   G4SSAplusfoam003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            56.154              56.204            -0.050         3.691
RESSURF           23.577              23.716            -0.139         5.589
SOLIN            412.713             412.713             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.517              -0.627             0.111         0.722
CLDHGH            37.672              37.570             0.101         2.709
CLDLOW            27.236              27.614            -0.378         2.157
CLDMED            16.371              16.203             0.168         3.162
CLDTOT            52.436              52.737            -0.300         2.599
EKE_850           10.759              10.191             0.568         1.416
EP            -8.639e-02          -1.046e-01         1.816e-02         1.065
FLNS              54.320              51.719             2.601         3.408
FLNSC             70.573              66.881             3.692         4.215
FLNT             242.165             244.994            -2.830         5.208
FLNTC            281.697             284.692            -2.995         3.360
FSDS             221.309             222.466            -1.157         6.541
FSDSC            292.838             294.935            -2.097         2.244
FSNS             205.276             206.344            -1.068         6.183
FSNSC            272.677             274.675            -1.998         2.142
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       245.356             246.932            -1.576         1.865
FSNT             298.319             301.199            -2.880         6.388
FSNTC            362.110             366.353            -4.243         4.301
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            109.954             113.566            -3.612         8.531
LWCF              39.533              39.698            -0.165         3.236
PRECT              3.896               4.042            -0.145         1.013
PRECT_LAND         4.250               4.307            -0.057         0.590
PRECT_OCEAN        3.781               3.953            -0.172         1.114
PREH2O            41.053              45.156            -4.103         4.486
PREH2O_OCEAN      42.697              47.026            -4.329         4.690
PSI_200            0.017               0.158            -0.141         0.194
PS               995.509             995.637            -0.128         0.317
PSL             1010.217            1010.314            -0.098         0.281
QFLX               3.810               3.937            -0.127         0.215
SHFLX             17.425              17.343             0.082         2.323
SNOWHLND           0.000               0.000             0.000         0.002
SST               27.184              28.366            -1.181         1.210
STRESS_MAG         0.052               0.051             0.002         0.007
SWCF             -63.792             -65.155             1.363         6.070
T_850            290.186             291.550            -1.364         1.380
TGCLDLWP         122.966             124.788            -1.822        19.485
TGCLDIWP          12.207              11.676             0.531         1.859
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.877             300.153            -1.276         1.302
TS               299.933             301.194            -1.261         1.296
TS_LAND          298.540             300.074            -1.534         1.555
U_200              5.786               5.374             0.412         1.390
VT_850             0.348               0.191             0.157         0.582
Z3_500            58.472              58.803            -0.331         0.332
