DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: G4SSAplusfoam003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable     G4SSAplusfoam003   b.e11.TSREFC2.f09.g16.ccmi23.003   G4SSAplusfoam003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM           -67.667             -68.588             0.921         1.707
RESSURF          -36.716             -36.417            -0.299         5.480
SOLIN            239.469             239.469             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.322              -1.262            -0.060         0.525
CLDHGH            24.682              24.890            -0.208         1.332
CLDLOW            28.582              29.651            -1.069         2.546
CLDMED            15.264              14.885             0.379         0.955
CLDTOT            44.220              45.049            -0.829         2.220
EKE_850           30.716              30.604             0.112         1.138
EP             1.898e-03          -9.332e-03         1.123e-02         0.220
FLNS              64.919              63.877             1.042         1.930
FLNSC             87.716              86.776             0.939         2.525
FLNT             229.915             232.959            -3.045         3.464
FLNTC            253.512             256.975            -3.462         3.751
FSDS             128.099             128.629            -0.530         2.185
FSDSC            166.589             168.202            -1.613         1.752
FSNS             109.702             110.551            -0.848         2.014
FSNSC            143.507             145.326            -1.819         2.355
FSNSC_ICE          9.991              10.242            -0.251         4.038
FSNSC_LAND       127.553             129.364            -1.811         2.378
FSNT             162.247             164.372            -2.124         2.726
FSNTC            194.282             197.627            -3.345         3.596
ICEAREA            9.566               8.217             1.349         0.115
LHFLX             63.953              65.691            -1.738         4.568
LWCF              23.598              24.015            -0.418         1.395
PRECT              2.177               2.253            -0.075         0.215
PRECT_LAND         1.591               1.668            -0.077         0.194
PRECT_OCEAN        2.930               2.981            -0.051         0.241
PREH2O            18.706              20.458            -1.753         1.943
PREH2O_OCEAN      25.278              27.232            -1.954         2.316
PSI_200           -6.054              -6.379             0.325         0.347
PS               976.825             977.204            -0.379         0.602
PSL             1015.832            1016.096            -0.264         0.504
QFLX               2.179               2.243            -0.064         0.145
SHFLX             17.546              17.399             0.147         2.238
SNOWHLND           3.075               2.533             0.542         4.431
SST               19.195              20.169            -0.974         1.026
STRESS_MAG         0.050               0.047             0.003         0.005
SWCF             -32.035             -33.256             1.221         2.177
T_850            278.594             279.941            -1.347         1.380
TGCLDLWP         127.854             133.148            -5.294        10.671
TGCLDIWP          19.487              18.948             0.539         1.188
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           283.618             285.130            -1.513         1.710
TS               284.194             285.710            -1.516         1.756
TS_LAND          279.871             281.559            -1.687         1.757
U_200             17.632              18.181            -0.549         1.132
VT_850             0.119               0.123            -0.004         0.540
Z3_500            56.486              56.808            -0.322         0.327
